Requires Attention,Published Status,OTC Status,Scope Status,Seasonal Status,Staleness Status,Organisation Name,Dataset ID,DQ Score,BODS Compliant,Last Updated Date,Last Modified Date,Effective Last Modified Date,XML Filename,Licence Number,National Operator Code,Service Code,Public Use Flag,Operating Period Start Date,Operating Period End Date,Effective stale date due to end date,Effective stale date due to effective last modified date,Last modified date < Effective stale date due to OTC effective date,Effective stale date due to OTC effective date,Effective Seasonal Start Date,Seasonal Start Date,Seasonal End Date,Service Revision Number,Line Name,Origin,Destination,Operator ID,Operator Name,Address,OTC Licence Number,Licence Status,Registration Number,Service Type Description,Variation Number,Service Number,Start Point,Finish Point,Via,Granted Date,Expiry Date,Effective Date,Received Date,Service Type Other Details
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_84_20230108_4.xml,PC0001135,TBTN,PC0001135:84,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,4,32,Derby,Ilkeston,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/84,Normal Stopping,0,32,"Ilkeston, Wharncliffe Road",Derby Bus Station,"West Hallam, Stanley, Chaddesden",01/05/1996,30/04/2026,02/10/2022,19/08/2022,Monday to Sunday
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_53_20230108_6.xml,PB0002711,BRTB,PB0002711:53,TRUE,08/01/2023,,,22/12/2023,FALSE,09/05/2021,,,,6,CC,Calverton,Nottingham,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/53,Normal Stopping,8,The Calverton,"Nottingham, Upper Parliament Streett","Nottingham, Upper Parliament Streett",,01/07/1994,30/06/2024,18/07/2021,13/07/2021,Vary timetable to re-instate Friday and Saturday night journeys
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,24/02/2023,24/02/2023,BODS_PB0002711_39_20230226_12.xml,PB0002711,BRTB,PB0002711:39,TRUE,26/02/2023,,,24/02/2024,FALSE,27/12/2020,,,,12,IGO,Nottingham,Derby,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/39,Normal Stopping,21,Indigo,Nottingham,Derby,"Beeston, Long Eaton, Draycott, Borrowash",01/07/1994,30/06/2024,07/03/2021,01/03/2021,To revert to registered timetable following  re-opening of schools
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_38_20230108_12.xml,PB0002711,BRTB,PB0002711:38,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,12,SN,Nottingham,Loughborough or Coalville,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/38,Limited Stop,24,Skylink Nottingham,"Nottingham, Friar Lane","Coalville, Memorial Square/East Midlands Gateway","Long Eaton, Castle Donnington, Eastmidlands Airport, Sutton Bonington",01/07/1994,30/06/2024,02/10/2022,19/08/2022,"To introduce a revised timetable and route, serving Broadmarsh Bus Station in Nottingham and withdrawing section of route between the East Midlands Gateway and Loughborough.

To amend terminal points to Nottingham Friar Lane and Coalville Memorial Square or East Midlands Gateway"
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002186_37_20230108_6.xml,PB0002186,TBTN,PB0002186:37,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,6,35,Hucknall,Hayden Lane,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PB0002186,Valid,PB0002186/37,Normal Stopping,5,35,Hucknall Railway Station,Hucknall Railway Station,"Kenbrook Road, Hayden Lane, Church Lane, Linby Road",18/05/1992,30/04/2027,02/10/2022,19/08/2022,Revised timetable and renumber service to 35
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_21_20230108_7.xml,PB0002711,BRTB,PB0002711:21,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,TRUE,22/01/2023,,,,7,COT,Nottingham,Cotgrave,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/21,Normal Stopping,21,Cotgrave Connection,"Nottingham, Beastmarket Hill","Nottingham, Beastmarket Hill","Broadmarsh Bus Station, Nottingham",01/07/1994,30/06/2024,02/04/2023,16/02/2023,To introduce a revised evening timetable
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_12_20230108_6.xml,PB0002711,BRTB,PB0002711:12,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,TRUE,22/01/2023,,,,6,i4,Nottingham,Derby,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/12,Normal Stopping,33,i4,"Nottingham, Friar Lane Stop F3",Derby BS,Cole Lane,01/07/1994,30/06/2024,02/04/2023,16/02/2023,"Sundays and Bank Holidays
To introduce revised timetable including additional early morning journeys."
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_81_20230108_4.xml,PC0001135,TBTN,PC0001135:81,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,4,31,Ilkeston,Kirk Hallam,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/81,Normal Stopping,0,31,"Ilkeston, Wharncliffe Road","Ilkeston, Wharncliffe Road",Kirk Hallam,01/05/1996,30/04/2026,02/10/2022,19/08/2022,Monday to Sunday.
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002186_28_20230108_7.xml,PB0002186,TBTN,PB0002186:28,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,TRUE,22/01/2023,,,,7,C,Hucknall Station,Hucknall Station,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PB0002186,Valid,PB0002186/28,Normal Stopping,17,Connect,Hucknall Station,Hucknall Station,Hucknall estates,18/05/1992,30/04/2027,02/04/2023,16/02/2023,"Daily 
To introduce a revised timetable"
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002186_2_20230108_5.xml,PB0002186,TBTN,PB0002186:2,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,TRUE,22/01/2023,,,,5,TWO,Cotmanhay Farm,Nottingham,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PB0002186,Valid,PB0002186/2,Normal Stopping,26,Two,"Nottingham, Victoria Bus Station",Cotmanhay Farm,"Trowell, Ilkeston",18/05/1992,30/04/2027,02/04/2023,16/02/2023,"Mondays to Saturdays
To introduce a revised timetable."
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002186_1_20230108_5.xml,PB0002186,TBTN,PB0002186:1,TRUE,08/01/2023,,,22/12/2023,FALSE,09/05/2021,,,,5,1,Nottingham,Ripley or Alfreton,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PB0002186,Valid,PB0002186/1,Hail & Ride|Normal Stopping,31,Rainbow 1,"Nottingham, Victoria Bus Station",Alfreton/Ripley/Heanor,Heanor Road,18/05/1992,30/04/2027,18/07/2021,13/07/2021,"Revised timetable, including reinstatment of Friday and Saturday evening journeys"
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_25_20230108_7.xml,PB0002711,BRTB,PB0002711:25,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,7,KC,Nottingham,Keyworth,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/25,Normal Stopping,27,Keyworth Connection,"Nottingham, Mount Street/Broadmarsh Bus Station","Nottingham, Mount Street/Broadmarsh Bus Station",,01/07/1994,30/06/2024,02/10/2022,19/08/2022,"To introduce a revised timetable and route, serving Broadmarsh Bus Station in Nottingham.

To amend terminal points to Nottingham, Mount Street/Broadmarsh Bus Station and Nottingham, Mount Street/Broadmarsh Bus Station"
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_78_20230115_7.xml,PC0001135,TBTN,PC0001135:78,TRUE,15/01/2023,,,16/01/2024,FALSE,22/05/2021,,,,7,V3,Derby,Burton upon Trent,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/78,Normal Stopping,8,Village V3,Derby Bus Station,"Burton on Trent , Derby Street","Littleover, Findearn, Willington, Repton",01/05/1996,30/04/2026,31/07/2021,23/07/2021,"Vary route, stopping places and timetable."
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_7_20230115_10.xml,PC0001135,TBTN,PC0001135:7,TRUE,15/01/2023,01/04/2023,18/02/2023,16/01/2024,TRUE,22/01/2023,,,,10,TM,Derby,Mickleover,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/7,Limited Stop,24,The Mickelover,Derby Bus Station,Mickleover,Western Road,01/05/1996,30/04/2026,02/04/2023,16/02/2023,Revised timetable.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002186_14_20230108_10.xml,PB0002186,TBTN,PB0002186:14,TRUE,08/01/2023,,,22/12/2023,FALSE,25/07/2022,,,,10,3A 3B 3C,Nottingham,Mansfield,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PB0002186,Valid,PB0002186/14,Normal Stopping,38,Rainbow 3,"Nottingham, Victoria Bus Station",Mansfield Bus Station,Sutton,18/05/1992,30/04/2027,03/10/2022,19/08/2022,Saturdays nights and Sunday mornings to withdraw Mansfield - Kirkby night journeys and amend route
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_31_20230115_7.xml,PC0001135,TBTN,PC0001135:31,TRUE,15/01/2023,,,16/01/2024,FALSE,21/06/2016,,,,7,HQ,Derby,Heatherton,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/31,Normal Stopping,18,Harlequin,"Derby, Gower Street","Derby, Gower Street",Heatherton,01/05/1996,30/04/2026,30/08/2016,01/07/2016,vary timetable
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_52_20230108_7.xml,PB0002711,BRTB,PB0002711:52,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,7,SNX,Nottingham,East Midlands Airport,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/52,Limited Stop,20,Skylink Express,"Nottingham, Friar Lane",East Midlands Airport,Broadmarsh Bus Station,01/07/1994,30/06/2024,02/10/2022,19/08/2022,"Vary route and timetable
To operate to and from Broashmarsh Bus station in Nottingham"
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_50_20230108_7.xml,PB0002711,BRTB,PB0002711:50,TRUE,08/01/2023,,,22/12/2023,FALSE,24/07/2022,,,,7,RV1,Nottingham,Bingham,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/50,Normal Stopping,12,Rushcliffe Villager 1,Nottingham Spaniel Row/Canal Street,"Bingham, Newgate Street",,01/07/1994,30/06/2024,02/10/2022,19/08/2022,To operate to and from Broadmarsh Bus Station in Nottingham. Vary route and timetable.dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
Yes,Published,Registered,In Scope,Not Seasonal,Stale - End date passed,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PB0002711_49_20230108_7.xml,PB0002711,BRTB,PB0002711:49,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,FALSE,24/07/2022,,,,7,RM,Nottingham,Bingham,98257,BARTON BUSES LTD,88A MANSFIELD ROAD,PB0002711,Valid,PB0002711/49,Normal Stopping,16,Rushcliffe Mainline,"Nottingham, Friar Lane","Bingham, Swallow Drive","Broadmarsh Bus Station, Nottingham",01/07/1994,30/06/2024,02/10/2022,19/08/2022,"Timetable and Route change
Boradmarsh bus station Nottingham"
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_77_20230115_10.xml,PC0001135,TBTN,PC0001135:77,TRUE,15/01/2023,,,16/01/2024,FALSE,22/05/2021,,,,10,V1,Derby,Burton upon Trent,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/77,Limited Stop,11,Villager V1,Derby Bus Station,Burton on Trent Bus High Street,"Mickleover, Etwall, Hilton, Tutbury, Stretton",01/05/1996,30/04/2026,31/07/2021,23/07/2021,Daily: Route and timetable amended as a result of the reopening of Burton-on-Trent High Street.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_11_20230108_7.xml,PC0001135,TBTN,PC0001135:11,TRUE,08/01/2023,,,22/12/2023,FALSE,25/07/2022,,,,7,90,Sutton,Ripley,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/11,Normal Stopping,10,Ninety,Ripley Market Place,Sutton Bus Station,,01/05/1996,30/04/2026,03/10/2022,28/09/2022,Monday to Saturdays to reintroduce the evening service following the award of the tender by Derbyshire county council.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_10_20230115_7.xml,PC0001135,TBTN,PC0001135:10,TRUE,15/01/2023,,,16/01/2024,FALSE,07/11/2021,,,,7,SW,Derby,Uttoxeter,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/10,Normal Stopping,37,Swift,Derby Bus Station,Uttoxeter Bus Station,,01/05/1996,30/04/2026,16/01/2022,10/11/2021,Variation to timetable
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,20/09/2022,20/09/2022,BODS_PC0001135_26_20221002_9.xml,PB0002711,TBTN,PC0001135:26,TRUE,08/01/2023,01/04/2023,18/02/2023,20/09/2023,TRUE,23/01/2023,,,,9,CMT,Derby,Chesterfield,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/26,Normal Stopping,26,The Comet,Derby Bus Station,"Chesterfield, New Beetwell Street","Clay Cross, High Street",01/05/1996,30/04/2026,03/04/2023,16/02/2023,Timetable change.
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_39_20230108_6.xml,PC0001135,TBTN,PC0001135:39,TRUE,08/01/2023,01/04/2023,18/02/2023,22/12/2023,TRUE,22/01/2023,,,,6,H1,Derby,Alfreton,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/39,Normal Stopping,22,H1,"Alfreton, Hall Street Bus Station",Derby Bus Station,Heanor,01/05/1996,30/04/2026,02/04/2023,16/02/2023,Timetable change.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,22/12/2022,22/12/2022,BODS_PC0001135_42_20230108_5.xml,PC0001135,TBTN,PC0001135:42,TRUE,08/01/2023,,,22/12/2023,FALSE,09/05/2021,,,,5,IF,Derby,Cotmanhay,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/42,Limited Stop,29,Ilkeston Flyer,"Ilkston, Wharncliffe Road",Derby Bus Station,,01/05/1996,30/04/2026,18/07/2021,13/07/2021,Timetable change due to easing of coronavirus restrictions.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_56_20230115_7.xml,PC0001135,TBTN,PC0001135:56,TRUE,15/01/2023,,,16/01/2024,FALSE,09/05/2021,,,,7,RA,Nottingham,Derby,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/56,Normal Stopping,28,Night Arrow,Derby Bus Station,"Nottingham, Victoria Bus Station",Q.M.C,01/05/1996,30/04/2026,18/07/2021,13/07/2021,Variation to timetable to reintroduce Friday & Saturday evening and night journeys
Yes,Published,Registered,In Scope,Not Seasonal,Stale - OTC Variation,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_6_20230115_8.xml,PC0001135,TBTN,PC0001135:6,TRUE,15/01/2023,01/04/2023,18/02/2023,16/01/2024,TRUE,22/01/2023,,,,8,TA,Derby,Allestree,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/6,Normal Stopping,18,The Allestre,Derby Albert Street/Corporation Street,Derby Bus Station Albert Street/Corporation Street,,01/05/1996,30/04/2026,02/04/2023,16/02/2023,Revised Timetable.
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_66_20230115_8.xml,PC0001135,TBTN,PC0001135:66,TRUE,15/01/2023,,,16/01/2024,FALSE,09/05/2021,,,,8,6.0 6.1 6.2 6.3 6.4 6X 6E 6N,Derby,Belper,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/66,Normal Stopping,32,SIXES,"Bakewell, Matlock Street","Derby, Full Street","Matlock, Belper",01/05/1996,30/04/2026,18/07/2021,13/07/2021,Variation to timetable to introduce additional evening and night journeys to Friday & Saturday
No,Published,Registered,In Scope,Not Seasonal,Not Stale,trentbarton,465,100%,YES,2023-03-27 13:42:34.555179+00:00,16/01/2023,16/01/2023,BODS_PC0001135_16_20230115_10.xml,PC0001135,TBTN,PC0001135:16,TRUE,15/01/2023,,,16/01/2024,FALSE,22/05/2021,,,,10,X38,Derby,Burton,97983,TRENT MOTOR TRACTION COMPANY LIMITED(THE),88A MANSFIELD ROAD,PC0001135,Valid,PC0001135/16,Normal Stopping,20,X38,"Derby, Debenhams","Burton On Trent, New Street",Clay Mills,01/05/1996,30/04/2026,31/07/2021,23/07/2021,"1. Daily: to amend route and timetable as a result of the reopening of Burton-on-Trent High Street.
2.  To continue to observe the stop and Meadowside Drive, in Burton-on-Trent."
